gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-018,관리,VM CXL 메모리 인식·활용 설정,VM에서 CXL 메모리의 인식과 활용 설정을 관리하고 특정 VM에 직접 할당할 수 있어야 한다.,T2-000030,SFR-004::SFR-004-003; SFR-004::SFR-004-004,SFR-004,유지,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-019,조회,VM별 CXL 메모리 사용량 모니터링,VM별 CXL 메모리 사용량을 모니터링하고 CXL 메모리의 성능을 분석할 수 있어야 한다.,T2-000031,SFR-004::SFR-004-005; SFR-004::SFR-004-012,SFR-004,유지,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-020,처리,CXL 메모리 자동 조정·Auto-scaling,메모리 사용량을 기반으로 CXL 메모리 자동 조정과 Auto-scaling을 수행하여야 한다.,T2-000032,SFR-004::SFR-004-006; SFR-004::SFR-004-010,SFR-004,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-021,관리,CXL 메모리 리소스 풀 등록·스케줄링,Kubernetes에서 CXL 메모리 리소스 풀을 등록하고 VM·컨테이너에 자동으로 스케줄링할 수 있어야 한다.,T2-000034,SFR-004::SFR-004-009,SFR-004,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-022,관리,CXL 메모리 자동 확장·장애 복구,CXL 메모리의 자동 확장과 장애 감지·복구를 관리하여야 한다.,T2-000035,SFR-004::SFR-004-013,SFR-004,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-023,처리,클러스터 자원 부하 분석·자동 확장,클러스터 내 자원 부하를 분석하고 자동 확장 기능을 제공하여야 한다.,T2-000038,SFR-005::SFR-005-003; SFR-005::SFR-005-004,SFR-005,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-024,관리,VM·BM 서버 고정·동적 리소스 조정·인스턴스 축소,VM 및 BM 서버의 사용량을 모니터링하고 고정 또는 동적 리소스를 조정하며 사용률이 일정 기준 이하일 경우 인스턴스를 축소하여야 한다.,T2-000039,SFR-005::SFR-005-005; SFR-005::SFR-005-006,SFR-005,유지,"수행대상, 사용자, 행위, 결과 또는 검수증거가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-025,관리,GPU·고성능 연산 자원 스케줄링,GPU 및 고성능 연산 자원의 공유 및 최적 활용을 위한 스케줄링을 제공하여야 한다.,T2-000040,SFR-005::SFR-005-007,SFR-005,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-026,분석,VM·BM 클러스터 자원 사용량 모니터링·장기 패턴 분석,"VM 및 BM 클러스터의 CPU, 메모리, 스토리지 사용량을 모니터링하고 장기적인 사용 패턴을 분석하여야 한다.",T2-000041,SFR-005::SFR-005-008; SFR-005::SFR-005-009,SFR-005,유지,"수행대상, 사용자, 행위, 결과 또는 검수증거가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-027,제공,오버커밋·과부하 자동 경고 및 로그 중앙 분석,"오버커밋 및 과부하 상태를 감지하여 자동 경고를 제공하고 VM, 컨테이너 및 Baremetal 로그를 중앙에서 취합·분석하여야 한다.",T2-000042,SFR-005::SFR-005-010,SFR-005,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-028,관리,스토리지 프록시 상태 모니터링·이상 탐지,스토리지 프록시의 상태를 모니터링하고 이상 상태를 자동으로 탐지하여야 한다.,T2-000043,SFR-006::SFR-006-001,SFR-006,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-029,관리,유지보수 일정 기반 스토리지 프록시 재구성,유지보수 일정에 따라 스토리지 프록시를 자동으로 재구성하여야 한다.,T2-000044,SFR-006::SFR-006-002,SFR-006,KEPT,TASK3 유사 그룹 출력에서 해당 입력 계보가 최종 요구사항과 관계 판정 모두에서 누락되어 데이터 손실 방지를 위해 입력 요구사항을 독립 요구사항으로 보존함,REVIEW_REQUIRED
GOLD-030,관리,운영 정책 자동 적용,운영 정책을 설정하고 자동으로 적용하여야 한다.,T2-000045,SFR-006::SFR-006-003,SFR-006,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-031,관리,스냅샷·복구 기반 데이터 무결성 유지보수,데이터 무결성을 유지하기 위해 스냅샷과 복구를 기반으로 유지보수를 수행하여야 한다.,T2-000046,SFR-006::SFR-006-004,SFR-006,KEPT,TASK3 유사 그룹 출력에서 해당 입력 계보가 최종 요구사항과 관계 판정 모두에서 누락되어 데이터 손실 방지를 위해 입력 요구사항을 독립 요구사항으로 보존함,REVIEW_REQUIRED
GOLD-032,처리,장애 자동 페일오버,장애 발생 시 고가용성 옵션을 활용하여 자동 페일오버를 수행하여야 한다.,T2-000047,SFR-006::SFR-006-005,SFR-006,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-033,분석,HA 노드 유지보수 이력·Lustre 마운트 성능 영향도 분석,"HA 구성 내 노드별 유지보수 이력을 관리하고 성능 변화를 분석하며, Lustre 파일 시스템의 마운트 구성 변경 전후에 성능 영향도를 분석하고 변경 효과를 시각적으로 비교하여야 한다.",T2-000048; T2-000086,SFR-006::SFR-006-006; SFR-006::SFR-006-007; SFR-013::SFR-013-008,SFR-006; SFR-013,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,REVIEW_REQUIRED
GOLD-034,산출,HPC 자동 튜닝·성능 최적화·유지보수 영향 분석,HPC 클러스터의 성능을 자동으로 튜닝하고 최적화하며 유지보수 전후 성능 비교와 영향 분석을 수행하여야 한다.,T2-000049,SFR-006::SFR-006-008; SFR-006::SFR-006-009; SFR-006::SFR-006-010,SFR-006,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-035,조회,HPC 클러스터 토폴로지 시각화,HPC 클러스터의 토폴로지와 네트워크 구조를 시각화하여 대시보드에 표시하여야 한다.,T2-000050,SFR-007-001; SFR-007::SFR-007-001,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-036,조회,HPC 주요 리소스 대시보드,"HPC의 CPU, 메모리, 네트워크 및 스토리지 리소스 사용률을 대시보드에서 실시간 조회할 수 있어야 한다.",T2-000051,SFR-007-002; SFR-007::SFR-007-002,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-037,조회,HPC 장애 노드·네트워크 경로 강조,장애가 발생한 HPC 노드와 관련 네트워크 경로를 대시보드에서 강조 표시하여야 한다.,T2-000052,SFR-007-003; SFR-007::SFR-007-003,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-038,조회,HPC 사용자별 사용량·작업 현황,사용자별 HPC 사용량과 실행 중인 작업 현황을 대시보드에서 조회할 수 있어야 한다.,T2-000053,SFR-007-004; SFR-007::SFR-007-004,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-039,분석,HPC 작업 실행시간·자원 소모율 분석,HPC 작업의 실행 시간과 자원 소모율을 분석하여 예측 및 최적화를 지원하여야 한다.,T2-000054,SFR-007::SFR-007-005,SFR-007,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-040,조회,HPC 사용 로그·과거 작업 내역,HPC 사용 로그와 과거 작업 내역을 대시보드에서 조회할 수 있어야 한다.,T2-000055,SFR-007-006; SFR-007::SFR-007-006,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-041,조회,HPC 성능 최적화 제안,HPC 성능 저하와 자원 낭비를 분석하여 운영자에게 최적화 제안을 제공하여야 한다.,T2-000056,SFR-007::SFR-007-007,SFR-007,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-042,조회,HPC 성능 저하·장애 알림,HPC 성능 저하와 장애 발생 시 운영자에게 실시간 알림을 제공하여야 한다.,T2-000057,SFR-007-008; SFR-007::SFR-007-008,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-043,조회,HPC 리소스 임계치 초과 알림,HPC 리소스의 임계치를 초과할 경우 운영자에게 알림을 제공하여야 한다.,T2-000058,SFR-007-009; SFR-007::SFR-007-009,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-044,조회,HPC 자동 조치 버튼,리소스 임계치 초과 시 운영자가 즉시 대응할 수 있도록 자동 조치 버튼을 제공하여야 한다.,T2-000059,SFR-007-010; SFR-007::SFR-007-010,SFR-007,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-045,관리,HPC 자동 스케일링·재시작 정책 설정,사전 정의된 정책에 따라 HPC 자원의 자동 스케일링과 노드 재시작을 설정할 수 있어야 한다.,T2-000060,SFR-007::SFR-007-011,SFR-007,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-046,관리,하이브리드 HPC 자동 배치·이동,"하이브리드 HPC 환경 통합 관리 기능을 제공하여야 하며, VM, Container 및 Baremetal 환경을 하나의 대시보드에서 통합 관리하고 자동 배치와 컨테이너 이동을 지원하여야 한다.",T2-000061; T2-000062,SFR-007-012; SFR-007-013; SFR-007::SFR-007-012; SFR-007::SFR-007-013,SFR-007,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,REVIEW_REQUIRED
GOLD-047,관리,장애 복구 자동화 및 모니터링,"클라우드 플랫폼과 서비스의 하드웨어, 스토리지 및 네트워크 상태를 모니터링하고 이상 징후 발생 시 자동 복구를 수행하며 장애 시나리오별 대응 전략을 관리하여야 한다.",T2-000063,SFR-008::SFR-008-001; SFR-008::SFR-008-002; SFR-008::SFR-008-003,SFR-008,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-048,산출,장애 복구 보고서 및 개선점 분석,장애 복구 자동화 프로세스를 수행한 결과를 기록하고 복구 이력과 개선점을 분석하여 보고서를 생성하여야 한다.,T2-000064,SFR-008::SFR-008-004,SFR-008,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-049,관리,VM·BM·컨테이너 통합 보안정책 관리,"VM, BM 및 컨테이너 자원에 통합 보안정책을 수립하고 일괄 적용하여야 한다.",T2-000065,SFR-009::SFR-009-001,SFR-009,유지,"수행대상, 사용자, 행위, 결과 또는 검수증거가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-050,처리,동적 확장 환경 자원 보안정책 자동 적용,대규모 및 동적 확장 환경에서 자원 생성 시 사전 정의된 보안정책이 자동으로 적용되어야 한다.,T2-000066,SFR-009::SFR-009-002,SFR-009,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-051,모니터링,자원 유형별 보안상태 실시간 모니터링,"VM, BM 및 컨테이너 자원 유형별 보안상태를 실시간으로 모니터링하여야 한다.",T2-000067,SFR-009::SFR-009-003,SFR-009,유지,"수행대상, 사용자, 행위, 결과 또는 검수증거가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-052,권한,VM·BM·I/O 프로파일링 기반 접근권한·정책 설정 및 감사,VM 사용자 또는 그룹 역할 기반 접근권한을 설정하고 BM 운영 역할 기반 접근권한을 설정하며 I/O 프로파일링 결과를 기반으로 접근권한과 정책을 설정하고 역할 기반 접근 및 변경 행위를 감사하고 이력 추적하여야 한다.,T2-000069; T2-000083,SFR-009::SFR-009-005; SFR-012::SFR-012-004,SFR-009; SFR-012,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,REVIEW_REQUIRED
GOLD-053,처리,HPC 장애 실시간 ChatOps 자동화,"HPC 장애 발생 시 실시간 채팅 인터페이스를 통해 자동화된 분석, 진단 및 조치 명령을 수행하여야 한다.",T2-000070,SFR-010::SFR-010-001,SFR-010,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-054,조회,반복장애 ChatOps 워크플로우 관리·실행결과 공유,"반복장애 유형에 대해 사전 정의된 ChatOps 워크플로우를 구성하고 지정 명령어로 자동 실행하며, 실행 로그와 처리결과를 실시간 채팅창에 공유하여야 한다.",T2-000071,SFR-010::SFR-010-002; SFR-010::SFR-010-003,SFR-010,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-055,제공,HPC 장애대응 정보 역할별 보고,"장애 발생 시 주요 이벤트, 원인 분석 및 조치 내역을 요약하여 전사 공유 채널로 자동 전송하고, 관리자, 운영자 및 모니터링 요원별 역할 기반 보고 수준을 다르게 구성하여야 한다.",T2-000072,SFR-010::SFR-010-004,SFR-010,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-056,산출,HPC 장애대응 자동 리포트,장애 대응 내역과 결과를 기반으로 자동 리포트를 생성하고 정해진 채널로 주기적으로 전달하여야 한다.,T2-000073,SFR-010::SFR-010-005,SFR-010,유지,"수행대상, 사용자, 데이터 원천, 행위 또는 검수 결과가 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-057,산출,스토리지 성능·최적화 분석 리포트,다양한 병렬 파일 시스템과 클라우드 객체 스토리지의 성능을 벤치마크하고 분석하여 I/O 성능 비교와 최적화 방안을 제안하며 리포트를 자동 생성하여야 한다.,T2-000074; T2-000077; T2-000079,SFR-011-001; SFR-011-004; SFR-011-010; SFR-011::SFR-011-001; SFR-011::SFR-011-004; SFR-011::SFR-011-010,SFR-011,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현 결과와 검수 기준을 통합함.,REVIEW_REQUIRED
GOLD-058,연계,클라우드 객체 스토리지·HPC 클라우드 연동 어댑터,"클라우드 환경에서 다양한 객체 스토리지와 연동할 수 있는 스토리지 클라우드 어댑터를 제공하여야 하며, 온프레미스 HPC와 퍼블릭 클라우드의 I/O를 연계하여야 한다.",T2-000075; T2-000082,SFR-011::SFR-011-002; SFR-012::SFR-012-003,SFR-011; SFR-012,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,REVIEW_REQUIRED
GOLD-059,보안,스토리지 액세스 인증·권한·로그 관리,"스토리지와 클라우드 간 데이터 접근에 대한 사용자 인증, 권한 부여 및 접근 로그를 관리하여야 한다.",T2-000076,SFR-011::SFR-011-003,SFR-011,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-060,분석,HPC 워크로드·스토리지 적합도 분석·시뮬레이션,HPC 워크로드를 복제하고 다양한 환경에서 시뮬레이션하며 I/O 패턴과 리소스 이력을 분석하고 워크로드·스토리지 적합도를 분석하여야 한다.,T2-000078,SFR-011::SFR-011-005; SFR-011::SFR-011-006; SFR-011::SFR-011-007; SFR-011::SFR-011-008; SFR-011::SFR-011-009,SFR-011,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-061,분석,HPC I/O 프로파일링 및 분석,HPC 애플리케이션과 시스템 수준의 I/O를 추적하고 분석하여야 한다.,T2-000080,SFR-012::SFR-012-001,SFR-012,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-062,연계,컨테이너 기반 I/O 추적·통합 분석,컨테이너 단위로 I/O를 분리 수집하고 멀티노드에서 통합 분석하여야 한다.,T2-000081,SFR-012::SFR-012-002,SFR-012,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-063,관리,VM Lustre 자동·동적·스케줄·중앙·워크로드 마운트 관리,"VM 환경에서 Lustre 파일 시스템을 자동으로 마운트하고 동적으로 변경·유지 관리하며, 스케줄링과 중앙 통합 제어를 지원하여야 하며, 시간대, 워크로드 특성, 사용자 그룹 및 워크로드 기반 자동 스케줄링을 포함하여야 한다.",T2-000085,SFR-013::SFR-013-001; SFR-013::SFR-013-002; SFR-013::SFR-013-003; SFR-013::SFR-013-004; SFR-013::SFR-013-005; SFR-013::SFR-013-006; SFR-013::SFR-013-007,SFR-013,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-064,연계,VM NFS·Ceph·GlusterFS 자동 연계,"VM 환경에서 NFS, Ceph, GlusterFS 등 다양한 스토리지 시스템과의 연계 구성을 자동화하여야 한다.",T2-000087,SFR-013::SFR-013-009,SFR-013,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-065,관리,VM 외 스토리지 워크로드 기반 스케줄링·변경·모니터링,"VM-Lustre 외 스토리지에 대해 워크로드 기반의 접근 패턴을 고려한 최적화된 마운트/언마운트 스케줄링을 제공하여야 하며, 구성 변경 관리, 변경 이력 추적 및 사용 현황, 성능 지표와 병목 구간을 통합 모니터링하고 최적화 정책을 적용할 수 있어야 한다.",T2-000088,SFR-013::SFR-013-010,SFR-013,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
