gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-011,관리,다형식 문서 업로드·통합·데이터 추출,"PDF, 텍스트 및 이미지 파일을 업로드하고 파일 크기와 형식을 유효성 검사하며, 업로드 문서를 통합 관리하고 조회·삭제하고 데이터를 추출하여야 한다.",T2-000021; T2-000022,SFR-004::SFR-004-001; SFR-004::SFR-004-002; SFR-004::SFR-004-003; SFR-004::SFR-004-004,SFR-004,통합,문서 전체에서 동일하거나 부분 중복·보완 관계인 기능을 하나의 구현·검수 단위로 통합함.,PASS
GOLD-012,처리,RAG 검색·답변 생성·근거 링크,벡터DB에서 검색결과를 활용하여 질문에 답변을 생성하고 근거 문서와 링크를 제공하여야 한다.,T2-000023,SFR-004::SFR-004-005,SFR-004,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-013,산출,문서 기반 지식베이스 생성·관리,사용자가 제공한 문서를 기반으로 챗봇 지식베이스를 생성하고 관리할 수 있어야 한다.,T2-000025,SFR-005::SFR-005-002,SFR-005,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-014,조회,퍼블리시 전 개인 테스트,퍼블리시되지 않은 챗봇은 개인 테스트 페이지에서 사용자 테스트와 점검을 할 수 있어야 한다.,T2-000028,SFR-005::SFR-005-005,SFR-005,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-015,제공,다국어 응대 및 언어 감지 기능,"다국어 응대 및 언어 감지 기능을 제공하여야 하며, 20개 이상 언어로 응답과 언어 자동 감지를 포함하여야 한다.",T2-000032,SFR-007::SFR-007-001,SFR-007,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-016,처리,질의 의도 분석 및 맥락 기반 응답,"질의 의도 분석 및 맥락 기반 응답을 처리하여야 하며, 질의 의도 분석과 맥락 맞춤 응답, 불명확 질문 처리 및 다단계 대화 관리를 포함하여야 한다.",T2-000033,SFR-007::SFR-007-002; SFR-007::SFR-007-003,SFR-007,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-017,제공,홈페이지·게시판 최신정보 자동 학습 및 질의응답,"대학 홈페이지와 게시판의 안내에 적합한 정보를 수집·분석하고 매일 자동으로 학습하여 지식베이스에 추가하며 최신 학사정보, 일정, 공지사항 및 관련 담당부서와 연락처를 사용자 질의에 정확히 응답하여야 한다.",T2-000034; T2-000036,SFR-008::SFR-008-001; SFR-008::SFR-008-002; SFR-008::SFR-008-003; SFR-008::SFR-008-005; SFR-008::SFR-008-006,SFR-008,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,PASS
GOLD-018,입력,관리자 수동 정보 업데이트,관리자는 특정 학사정보를 수동으로 업데이트할 수 있어야 한다.,T2-000035,SFR-008::SFR-008-004,SFR-008,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-019,산출,대화·통계·사용량 엑셀 다운로드,"대화내용, 통계분석 및 사용량 데이터를 엑셀파일로 다운로드할 수 있어야 하며, 대화내용, 통계분석 및 사용량 데이터의 엑셀 다운로드를 지원하여야 한다.",T2-000038; T2-000039; T2-000051,SFR-009::SFR-009-003; SFR-009::SFR-009-004; SFR-012::SFR-012-007,SFR-009; SFR-012,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 동일 구현 결과와 검수 기준에 따라 통합함.,PASS
GOLD-020,제공,ARS 전화 응답·음성 대화·대량 통화,생성된 챗봇을 전화 ARS에 적용하여 인입 전화에 즉시 응답하고 한국어 음성 대화와 대량 통화량 처리를 지원하여야 한다.,T2-000040; T2-000041; T2-000042,SFR-010::SFR-010-001; SFR-010::SFR-010-002; SFR-010::SFR-010-003,SFR-010,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-021,권한,학내 통합인증·이메일 ID·외부 사용자 차단,"학내 운영중인 통합인증시스템을 연계하여 로그인을 처리하고, 학내 이메일을 ID로 사용하여 대학 구성원의 인증 절차를 단순화하며, 외부 사용자의 접근을 차단하여야 한다.",T2-000043; T2-000044,SFR-011-001; SFR-011-002; SFR-011::SFR-011-001; SFR-011::SFR-011-002,SFR-011,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-022,보안,비밀번호 암호화·HTTPS,비밀번호 암호화와 안전한 데이터 전송을 위해 HTTPS 프로토콜을 사용하여야 한다.,T2-000045,SFR-011::SFR-011-003,SFR-011,유지,"사용자 역할, 처리계층, 데이터 대상, 실행채널, 보안위험 또는 검수결과가 다른 독립 요구사항으로 유지함.",PASS
GOLD-023,입력,비밀번호 재설정,사용자가 비밀번호를 재설정할 수 있어야 한다.,T2-000046,SFR-011::SFR-011-004,SFR-011,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-024,관리,신규 회원 승인·거부,관리자는 신규 회원 가입 요청을 승인하거나 거부할 수 있어야 한다.,T2-000047,SFR-012::SFR-012-001,SFR-012,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-025,관리,부적절 계정 삭제,관리자는 부적절하거나 비활성화된 사용자 계정을 삭제할 수 있어야 한다.,T2-000048,SFR-012::SFR-012-002,SFR-012,유지,"사용자 역할, 처리계층, 데이터 대상, 실행채널, 보안위험 또는 검수결과가 다른 독립 요구사항으로 유지함.",PASS
