predicted_gold_id,predicted_name,reference_name,semantic_similarity,match_status
GOLD-078,데이터 특성 기반 인코딩 추천,이기종 가속기 요청 분석·환경 추천,0.899143,MATCHED
GOLD-040,HPC 사용 로그·과거 작업 내역,작업 실행 상태 모니터링 및 알림을 제공,0.898744,MATCHED
GOLD-076,게이트 융합·단순화,"다양한 스토리지 시스템의 사용 현황, 성능 지표, 병목 구간 등을 통합 모니터링하고 최적화 정책을 적용할 수 있는 관리기능",0.893353,MATCHED
GOLD-081,샷기반 카운팅·확률 분포,CXL 메모리 트랜잭션 지표 모니터링,0.893048,MATCHED
GOLD-043,HPC 리소스 임계치 초과 알림,사용자 요청에 따라 HPC 클러스터 자원을 스케일 업 및 다운이,0.88799,MATCHED
GOLD-082,양자 노이즈·에러 필터링,시뮬레이션 시 저장소 구성 변경을 반영할 수 있는,0.885933,MATCHED
GOLD-077,진폭·기저 인코딩,리소스 사용률이 일정 기준 이하일 경우 인스턴스 축소(Downscaling) 기능 지원,0.883436,MATCHED
GOLD-074,양자 게이트 세트 지원,다양한 규모와 패턴의 대용량 워크로드를 자동으로 생성 또는 복제하여 병렬 환경에서 테스트할 수 있는,0.883308,MATCHED
GOLD-084,양자 결과 불확실성·신뢰구간,장애 발생에 대한 장애 시나리오별 최적 대응 전략 수립이,0.880027,MATCHED
,,"Openstack, Kubernetes에서 CXL 메모리를 동적으로 할당할 수 있는 방안",,MISSED_REFERENCE
,,CXL 메모리 동적 할당·해제,,MISSED_REFERENCE
,,워크로드별 CXL 메모리 할당 정책 관리,,MISSED_REFERENCE
,,HPC 스케줄러·클라우드 CXL 자원 연계,,MISSED_REFERENCE
,,HPC 워크로드 CXL 성능 비교·평가,,MISSED_REFERENCE
,,CXL 메모리를 특정 VM에 직접 할당할 수 있는,,MISSED_REFERENCE
,,메모리 사용량을 조절할 수 있는 자동 조정(Auto-Balancing),,MISSED_REFERENCE
,,Kubernetes 및 Docker에서 CXL 메모리를 리소스로 인식하도록 CRD(Custom Resource Definition)를 개발,,MISSED_REFERENCE
,,컨테이너별 CXL 메모리 동적 할당 및 해제 기능 구현,,MISSED_REFERENCE
,,장기적인 사용 패턴을 분석하여 최적의 인프라 리소스 할당 방안 도출 설계,,MISSED_REFERENCE
,,HA 노드별 유지보수 이력 관리,,MISSED_REFERENCE
,,HA 노드별 유지보수 성능 변화 분석,,MISSED_REFERENCE
,,"VM, Container, Baremetal 환경을 하나의 대시보드에서 통합 관리할 수 있는 UI 제공",,MISSED_REFERENCE
,,"VM, 컨테이너, Baremetal 간 최적의 리소스 활용을 위한 자동 배치(Placement) 기능 제공",,MISSED_REFERENCE
,,"VM, 컨테이너, Baremetal 인스턴스를 생성하고 HPC 클러스터에 연결하는 직관적인 UI 제공",,MISSED_REFERENCE
,,역할 기반 접근 정책에 따른 자원 접근 및 변경 행위에 대한 감사 및 이력 추적,,MISSED_REFERENCE
,,"ChatOps 명령 실행 시 관련 로그, 처리 상태, 결과 등을 실시간으로 채팅창에 표시하여 상황 공유 및 협업을 지원하는",,MISSED_REFERENCE
,,"장애 발생 시 주요 이벤트, 원인 분석, 조치 내역 등을 요약해 전사 공유 채널로 자동 전송하는",,MISSED_REFERENCE
,,ChatOps 장애대응 리포트 주기 전송,,MISSED_REFERENCE
,,스토리지 접근제어 로그 수집,,MISSED_REFERENCE
,,스토리지 I/O 최적화 대상 분류,,MISSED_REFERENCE
,,"스토리지 성능 프로파일링을 스케줄 기반으로 수행하고, 시점별 I/O 패턴 분석 및 리소스 사용 이력을 수집하는",,MISSED_REFERENCE
,,컨테이너 클러스터 I/O 추적 연계,,MISSED_REFERENCE
,,멀티노드 I/O 추적정보 통합 분석,,MISSED_REFERENCE
,,클라우드 상에서도 동일한 I/O 추적,,MISSED_REFERENCE
,,정책을 설정할 수 있는,,MISSED_REFERENCE
,,구성을 지원하는 연계형 스케줄링,,MISSED_REFERENCE
,,Lustre 마운트 스케줄링·자동 실행 최적화,,MISSED_REFERENCE
,,복수의 VM에서 Lustre 스토리지 마운트 설정을 일괄 적용하거나 템플릿 기반으로 관리할 수 있는 중앙 통합 제어,,MISSED_REFERENCE
,,"VM-Lustre 외 스토리지 시스템의 구성 변경을 관리하고, 이력 및 변경 내역을 추적할 수 있는",,MISSED_REFERENCE
,,"어플리케이션 요구사항에 따라 최적화된 VM 환경을 자동으로 프로비저닝하고, 정책 기반으로 배포할 수 있는",,MISSED_REFERENCE
,,추천 컨테이너 환경 자동 생성·배포,,MISSED_REFERENCE
,,이기종 가속기 최적환경 자동 설정,,MISSED_REFERENCE
,,클라우드 QPU·양자벤더 API 통합 연계,,MISSED_REFERENCE
,,QPU 자원 할당 최적화,,MISSED_REFERENCE
,,QPU 사용 과금 산출,,MISSED_REFERENCE
,,벤치마크 리포트 자동 공유,,MISSED_REFERENCE
