task2_id,assigned_gold_ids,action_type,requirement_name,semantic_similarity_to_assigned_gold,passes_retention_threshold
T2-000103,GOLD-080,분석,양자 측정 통계 분석,1.0,True
T2-000104,GOLD-081,조회,샷기반 카운팅·확률 분포,1.0,True
T2-000105,GOLD-082,처리,양자 노이즈·에러 필터링,1.0,True
T2-000106,GOLD-083,처리,양자 결과 고전 데이터 변환,1.0,True
T2-000107,GOLD-084,처리,양자 결과 불확실성·신뢰구간,1.0,True
T2-000108,GOLD-085,조회,양자 결과 대시보드 시각화,1.0,True
T2-000109,GOLD-086,분석,고전·양자 결과 비교 분석,1.0,True
T2-000110,GOLD-087,제공,텐서 네트워크 기반 시뮬레이션,1.0,True
T2-000111,GOLD-088,제공,몬테카를로 샘플링 시뮬레이션,1.0,True
T2-000112,GOLD-089,제공,GPU·분산 HPC·희소 행렬 시뮬레이션,1.0,True
T2-000113,GOLD-090,처리,HPC 벤치마크 자원·환경 설정,1.0,True
T2-000114,GOLD-091,처리,HPC 벤치마크 로그 자동 수집,1.0,True
T2-000115,GOLD-092,처리,HPC 벤치마크 메트릭 자동 기록,1.0,True
T2-000116,GOLD-093,처리,HPC 벤치마크 상태 로그 자동 수집,1.0,True
T2-000117,GOLD-094,관리,HPC 벤치마크 로그 시계열 저장,1.0,True
T2-000118,GOLD-095,조회,HPC 벤치마크 로그 검색·필터링·정렬,1.0,True
T2-000119,GOLD-096,조회,HPC 벤치마크 관제 포털,1.0,True
T2-000120,GOLD-097,조회,HPC 벤치마크 이력·구성정보 조회,1.0,True
T2-000121,GOLD-098,분석,HPC 벤치마크 자원 활용·병목 분석,1.0,True
T2-000122,GOLD-099,산출,HPC 벤치마크 분석 리포트 생성·공유,1.0,True
