left_index,right_index,left_id,right_id,cosine_similarity,same_action_type,source_overlap,name_jaccard,mutual_top_k,adaptive_floor,high_match,evidence_match,lexical_match,action_match,connect,reason
19,39,T2-000020,T2-000040,0.904111,True,False,0.142857,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
19,48,T2-000020,T2-000049,0.927639,False,False,0.111111,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
20,21,T2-000021,T2-000022,0.911526,False,True,0.2,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
24,28,T2-000025,T2-000029,0.921684,False,True,0.0,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
26,27,T2-000027,T2-000028,0.920411,False,True,0.142857,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
26,28,T2-000027,T2-000029,0.932255,True,True,0.111111,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
26,29,T2-000027,T2-000030,0.928375,False,False,0.090909,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
26,46,T2-000027,T2-000047,0.88605,True,False,0.125,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
26,48,T2-000027,T2-000049,0.930642,False,False,0.1,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
26,49,T2-000027,T2-000050,0.942019,True,False,0.285714,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
27,49,T2-000028,T2-000050,0.917916,False,False,0.166667,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
28,29,T2-000029,T2-000030,0.949033,False,False,0.333333,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
28,30,T2-000029,T2-000031,0.928875,False,False,0.125,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
28,36,T2-000029,T2-000037,0.920266,False,False,0.111111,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
28,49,T2-000029,T2-000050,0.913692,True,False,0.125,False,0.91,False,False,False,True,True,['ACTION_AND_NAME_EVIDENCE']
29,30,T2-000030,T2-000031,0.932383,False,True,0.1,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
29,36,T2-000030,T2-000037,0.933565,False,False,0.090909,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
29,48,T2-000030,T2-000049,0.943557,True,False,0.181818,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
30,36,T2-000031,T2-000037,0.920218,False,False,0.125,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
30,39,T2-000031,T2-000040,0.914538,False,False,0.142857,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
33,35,T2-000034,T2-000036,0.935709,False,True,0.0,True,0.91,True,False,False,False,True,['MUTUAL_TOPK_HIGH_COSINE']
37,38,T2-000038,T2-000039,0.940779,True,True,0.5,True,0.91,True,True,True,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'LEXICAL_NAME_OVERLAP', 'ACTION_AND_NAME_EVIDENCE']"
38,50,T2-000039,T2-000051,0.930862,False,False,0.166667,True,0.91,True,True,False,False,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']"
39,40,T2-000040,T2-000041,0.929491,True,True,0.142857,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
39,41,T2-000040,T2-000042,0.92049,True,True,0.142857,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
40,41,T2-000041,T2-000042,0.946706,True,True,0.142857,True,0.91,True,True,False,True,True,"['MUTUAL_TOPK_HIGH_COSINE', 'MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
42,43,T2-000043,T2-000044,0.916364,False,True,0.125,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
47,49,T2-000048,T2-000050,0.917316,True,True,0.166667,True,0.91,False,True,False,True,True,"['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE', 'ACTION_AND_NAME_EVIDENCE']"
48,50,T2-000049,T2-000051,0.917414,True,True,0.111111,True,0.91,False,True,False,False,True,['MUTUAL_TOPK_ADAPTIVE_WITH_EVIDENCE']
